442,9,ELS,LS,MLS,MS,MCU,CU,ECU
256.0,168.0,8.0,231.0,91.0,101.0,1.0,307.0,232.0,4
256.0,290.0,72.0,299.0,84.0,274.0,70.0,315.0,162.0,0
256.0,327.0,43.0,353.0,87.0,288.0,24.0,408.0,256.0,3
256.0,193.0,68.0,236.0,143.0,189.0,35.0,363.0,256.0,4
256.0,248.0,94.0,296.0,157.0,137.0,56.0,319.0,256.0,4
256.0,188.0,52.0,266.0,201.0,45.0,2.0,358.0,256.0,5
256.0,159.0,43.0,273.0,212.0,99.0,1.0,376.0,256.0,5
256.0,178.0,65.0,230.0,122.0,80.0,21.0,350.0,254.0,4
256.0,108.0,106.0,212.0,246.0,1.0,25.0,310.0,256.0,5
256.0,257.0,60.0,370.0,223.0,109.0,1.0,492.0,256.0,5
256.0,155.0,52.0,201.0,186.0,1.0,5.0,201.0,256.0,5
192.0,135.0,18.0,250.0,186.0,103.0,1.0,302.0,192.0,5
256.0,190.0,61.0,305.0,207.0,155.0,1.0,372.0,256.0,5
256.0,165.0,45.0,228.0,129.0,41.0,1.0,244.0,256.0,4
256.0,133.0,74.0,175.0,121.0,56.0,19.0,247.0,255.0,3
256.0,171.0,68.0,272.0,229.0,79.0,1.0,384.0,256.0,5
256.0,109.0,50.0,191.0,153.0,41.0,1.0,329.0,256.0,5
256.0,181.0,60.0,227.0,130.0,39.0,43.0,239.0,256.0,3
256.0,119.0,48.0,173.0,145.0,102.0,1.0,336.0,256.0,4
256.0,211.0,42.0,301.0,198.0,190.0,1.0,432.0,256.0,5
256.0,378.0,26.0,420.0,95.0,369.0,5.0,504.0,255.0,3
256.0,162.0,69.0,177.0,86.0,109.0,49.0,194.0,238.0,1
256.0,240.0,26.0,263.0,67.0,189.0,14.0,298.0,256.0,2
256.0,81.0,75.0,128.0,148.0,1.0,55.0,137.0,256.0,4
256.0,183.0,38.0,255.0,140.0,1.0,1.0,374.0,256.0,4
256.0,189.0,72.0,301.0,191.0,1.0,31.0,401.0,256.0,5
256.0,113.0,35.0,154.0,93.0,64.0,5.0,249.0,255.0,3
256.0,118.0,1.0,348.0,256.0,22.0,1.0,381.0,256.0,6
256.0,161.0,19.0,187.0,52.0,128.0,9.0,191.0,250.0,2
256.0,129.0,8.0,295.0,241.0,1.0,1.0,376.0,256.0,5
256.0,254.0,45.0,351.0,217.0,91.0,1.0,372.0,254.0,5
256.0,201.0,66.0,249.0,125.0,93.0,16.0,335.0,255.0,3
256.0,93.0,1.0,300.0,256.0,1.0,1.0,321.0,256.0,6
256.0,136.0,65.0,260.0,252.0,18.0,1.0,354.0,256.0,5
256.0,150.0,17.0,240.0,148.0,1.0,1.0,300.0,256.0,5
224.0,65.0,1.0,310.0,224.0,57.0,1.0,465.0,224.0,6
256.0,309.0,54.0,380.0,223.0,102.0,1.0,434.0,256.0,5
256.0,269.0,137.0,288.0,175.0,117.0,111.0,346.0,254.0,3
256.0,132.0,37.0,214.0,131.0,103.0,8.0,320.0,256.0,5
240.0,88.0,46.0,149.0,131.0,4.0,1.0,213.0,238.0,4
256.0,122.0,39.0,224.0,178.0,1.0,1.0,299.0,256.0,5
256.0,45.0,31.0,147.0,210.0,1.0,1.0,207.0,256.0,5
256.0,96.0,1.0,315.0,256.0,21.0,1.0,382.0,256.0,6
256.0,151.0,74.0,203.0,142.0,91.0,34.0,291.0,256.0,4
256.0,105.0,37.0,222.0,210.0,1.0,1.0,249.0,256.0,5
256.0,122.0,45.0,145.0,69.0,98.0,26.0,187.0,245.0,2
256.0,158.0,64.0,256.0,216.0,139.0,1.0,400.0,254.0,5
256.0,272.0,76.0,318.0,154.0,270.0,35.0,438.0,256.0,4
256.0,369.0,43.0,387.0,70.0,357.0,37.0,425.0,255.0,1
256.0,182.0,46.0,286.0,194.0,119.0,1.0,448.0,256.0,5
256.0,307.0,23.0,425.0,203.0,216.0,1.0,544.0,256.0,5
256.0,164.0,74.0,236.0,162.0,22.0,8.0,300.0,256.0,4
256.0,157.0,32.0,197.0,92.0,122.0,12.0,257.0,256.0,3
256.0,108.0,97.0,143.0,135.0,75.0,75.0,172.0,256.0,3
256.0,327.0,66.0,370.0,121.0,294.0,42.0,482.0,256.0,3
224.0,258.0,61.0,310.0,132.0,201.0,30.0,356.0,222.0,4
256.0,241.0,72.0,336.0,206.0,38.0,1.0,410.0,256.0,5
256.0,122.0,46.0,211.0,169.0,20.0,11.0,352.0,226.0,5
256.0,144.0,70.0,206.0,165.0,50.0,12.0,308.0,254.0,5
256.0,155.0,25.0,169.0,46.0,143.0,20.0,201.0,211.0,1
256.0,281.0,67.0,339.0,143.0,185.0,25.0,384.0,256.0,4
256.0,220.0,10.0,320.0,208.0,221.0,1.0,320.0,256.0,5
256.0,146.0,52.0,222.0,160.0,63.0,1.0,357.0,255.0,4
256.0,163.0,36.0,283.0,242.0,98.0,1.0,397.0,254.0,5
256.0,91.0,50.0,187.0,190.0,52.0,1.0,331.0,256.0,5
256.0,176.0,57.0,373.0,256.0,1.0,1.0,428.0,256.0,6
256.0,167.0,41.0,272.0,204.0,96.0,1.0,374.0,254.0,5
256.0,231.0,112.0,239.0,123.0,216.0,107.0,254.0,217.0,0
256.0,99.0,45.0,124.0,73.0,44.0,36.0,145.0,242.0,1
256.0,193.0,45.0,235.0,111.0,63.0,19.0,370.0,254.0,3
256.0,123.0,124.0,206.0,206.0,1.0,12.0,284.0,256.0,5
256.0,310.0,57.0,404.0,203.0,227.0,1.0,560.0,256.0,5
256.0,127.0,26.0,245.0,224.0,1.0,1.0,317.0,256.0,5
256.0,103.0,52.0,154.0,136.0,41.0,13.0,234.0,256.0,4
224.0,320.0,73.0,370.0,138.0,246.0,34.0,417.0,222.0,4
256.0,147.0,37.0,209.0,117.0,24.0,7.0,319.0,256.0,4
256.0,80.0,70.0,107.0,123.0,19.0,43.0,215.0,256.0,3
256.0,134.0,64.0,170.0,113.0,53.0,23.0,228.0,256.0,3
256.0,193.0,1.0,439.0,256.0,164.0,1.0,472.0,256.0,6
256.0,276.0,48.0,310.0,101.0,237.0,6.0,389.0,256.0,3
256.0,203.0,34.0,240.0,78.0,137.0,1.0,296.0,256.0,3
256.0,199.0,50.0,245.0,172.0,189.0,1.0,426.0,256.0,5
256.0,300.0,117.0,408.0,256.0,228.0,51.0,483.0,256.0,5
256.0,219.0,82.0,294.0,211.0,211.0,1.0,487.0,256.0,5
256.0,313.0,51.0,431.0,237.0,204.0,1.0,496.0,256.0,5
256.0,174.0,65.0,221.0,121.0,81.0,44.0,301.0,255.0,3
256.0,251.0,59.0,334.0,195.0,242.0,4.0,462.0,256.0,5
256.0,191.0,56.0,265.0,170.0,149.0,20.0,313.0,256.0,5
256.0,147.0,51.0,183.0,125.0,128.0,5.0,308.0,256.0,4
256.0,208.0,63.0,350.0,240.0,183.0,1.0,432.0,256.0,5
256.0,370.0,74.0,440.0,241.0,145.0,1.0,439.0,256.0,5
256.0,258.0,62.0,302.0,111.0,238.0,11.0,389.0,256.0,3
256.0,277.0,57.0,327.0,197.0,56.0,1.0,368.0,256.0,5
256.0,115.0,18.0,223.0,210.0,115.0,1.0,320.0,256.0,5
256.0,215.0,44.0,268.0,115.0,196.0,1.0,410.0,256.0,3
256.0,90.0,29.0,107.0,52.0,75.0,20.0,129.0,231.0,1
256.0,136.0,66.0,191.0,166.0,38.0,17.0,220.0,255.0,5
256.0,283.0,66.0,386.0,220.0,221.0,6.0,555.0,256.0,5
256.0,114.0,61.0,189.0,218.0,1.0,27.0,189.0,254.0,5
256.0,97.0,61.0,118.0,101.0,3.0,35.0,121.0,256.0,3
256.0,120.0,57.0,167.0,122.0,16.0,1.0,314.0,256.0,4
256.0,119.0,40.0,182.0,122.0,28.0,1.0,247.0,256.0,4
256.0,142.0,57.0,202.0,140.0,41.0,7.0,319.0,256.0,4
256.0,195.0,51.0,272.0,153.0,34.0,14.0,377.0,256.0,4
256.0,83.0,87.0,146.0,166.0,2.0,12.0,221.0,256.0,4
256.0,116.0,78.0,153.0,129.0,81.0,49.0,211.0,255.0,3
256.0,242.0,77.0,294.0,147.0,155.0,44.0,362.0,256.0,4
256.0,190.0,58.0,292.0,207.0,174.0,1.0,405.0,256.0,5
256.0,128.0,60.0,149.0,107.0,1.0,31.0,156.0,256.0,3
256.0,1.0,1.0,303.0,256.0,94.0,1.0,305.0,256.0,6
224.0,165.0,1.0,337.0,202.0,60.0,1.0,382.0,224.0,5
256.0,116.0,74.0,164.0,142.0,45.0,46.0,241.0,174.0,3
224.0,182.0,35.0,284.0,166.0,138.0,1.0,382.0,224.0,5
224.0,266.0,37.0,340.0,140.0,189.0,1.0,464.0,224.0,5
256.0,287.0,59.0,325.0,110.0,175.0,2.0,367.0,256.0,3
256.0,176.0,30.0,298.0,214.0,21.0,1.0,432.0,256.0,5
256.0,138.0,33.0,221.0,217.0,1.0,1.0,332.0,256.0,5
224.0,193.0,50.0,286.0,158.0,112.0,1.0,299.0,224.0,5
256.0,111.0,90.0,150.0,123.0,62.0,40.0,220.0,256.0,3
256.0,156.0,37.0,271.0,167.0,108.0,13.0,271.0,256.0,5
224.0,266.0,40.0,346.0,128.0,163.0,1.0,470.0,223.0,4
256.0,107.0,62.0,161.0,187.0,22.0,18.0,236.0,254.0,4
256.0,305.0,61.0,322.0,87.0,273.0,55.0,348.0,255.0,1
256.0,212.0,27.0,232.0,52.0,186.0,20.0,247.0,239.0,1
256.0,141.0,57.0,204.0,156.0,4.0,16.0,204.0,256.0,4
256.0,300.0,31.0,337.0,94.0,273.0,4.0,391.0,256.0,3
224.0,199.0,36.0,243.0,90.0,137.0,8.0,289.0,224.0,3
256.0,244.0,19.0,294.0,78.0,130.0,15.0,401.0,256.0,3
256.0,369.0,32.0,427.0,124.0,275.0,10.0,547.0,256.0,3
256.0,165.0,51.0,192.0,88.0,135.0,43.0,283.0,256.0,2
256.0,210.0,49.0,230.0,79.0,163.0,30.0,271.0,218.0,2
256.0,147.0,1.0,384.0,256.0,1.0,1.0,432.0,256.0,6
256.0,233.0,45.0,316.0,159.0,163.0,1.0,384.0,256.0,5
256.0,194.0,27.0,216.0,59.0,164.0,11.0,228.0,256.0,2
256.0,190.0,108.0,202.0,121.0,176.0,102.0,216.0,171.0,0
256.0,266.0,59.0,312.0,121.0,191.0,15.0,408.0,255.0,3
256.0,86.0,44.0,137.0,158.0,1.0,5.0,166.0,256.0,4
256.0,288.0,51.0,386.0,197.0,283.0,1.0,533.0,256.0,5
256.0,151.0,50.0,202.0,115.0,76.0,14.0,256.0,256.0,3
256.0,69.0,70.0,107.0,112.0,8.0,30.0,169.0,256.0,3
192.0,93.0,23.0,207.0,156.0,1.0,1.0,269.0,192.0,5
256.0,227.0,45.0,310.0,177.0,93.0,1.0,381.0,256.0,5
256.0,194.0,53.0,235.0,105.0,95.0,18.0,306.0,256.0,3
256.0,188.0,47.0,216.0,95.0,159.0,3.0,293.0,256.0,3
256.0,173.0,50.0,185.0,67.0,160.0,43.0,195.0,158.0,0
256.0,137.0,79.0,208.0,158.0,50.0,22.0,287.0,256.0,4
256.0,230.0,69.0,311.0,191.0,141.0,11.0,392.0,256.0,5
256.0,124.0,54.0,182.0,124.0,61.0,2.0,242.0,256.0,4
256.0,137.0,41.0,207.0,153.0,19.0,16.0,320.0,256.0,5
256.0,352.0,66.0,384.0,113.0,307.0,30.0,504.0,256.0,3
256.0,188.0,45.0,246.0,93.0,58.0,44.0,301.0,256.0,4
256.0,243.0,66.0,305.0,190.0,243.0,2.0,418.0,255.0,5
256.0,292.0,57.0,346.0,123.0,250.0,2.0,401.0,256.0,4
256.0,241.0,13.0,369.0,216.0,179.0,1.0,549.0,256.0,5
256.0,164.0,31.0,180.0,56.0,149.0,21.0,218.0,243.0,1
256.0,201.0,84.0,266.0,198.0,13.0,23.0,361.0,256.0,5
224.0,153.0,1.0,415.0,222.0,90.0,1.0,444.0,224.0,6
256.0,165.0,35.0,265.0,200.0,96.0,1.0,371.0,254.0,5
256.0,235.0,79.0,277.0,128.0,161.0,33.0,356.0,256.0,3
256.0,148.0,15.0,270.0,208.0,149.0,1.0,391.0,255.0,5
256.0,59.0,86.0,130.0,153.0,1.0,6.0,286.0,256.0,4
256.0,87.0,43.0,152.0,175.0,1.0,1.0,194.0,256.0,5
256.0,171.0,50.0,187.0,77.0,165.0,24.0,265.0,256.0,2
256.0,220.0,90.0,291.0,199.0,214.0,38.0,320.0,256.0,5
256.0,121.0,36.0,174.0,118.0,44.0,7.0,234.0,254.0,4
256.0,131.0,62.0,199.0,167.0,27.0,24.0,230.0,256.0,5
256.0,165.0,71.0,258.0,224.0,1.0,1.0,302.0,256.0,5
256.0,132.0,39.0,203.0,151.0,52.0,7.0,320.0,256.0,4
256.0,105.0,29.0,133.0,73.0,83.0,13.0,308.0,256.0,2
256.0,114.0,44.0,218.0,189.0,1.0,1.0,349.0,256.0,5
256.0,305.0,1.0,476.0,234.0,213.0,1.0,544.0,256.0,5
224.0,247.0,44.0,304.0,116.0,154.0,25.0,417.0,222.0,4
256.0,161.0,50.0,202.0,106.0,46.0,13.0,272.0,256.0,3
256.0,194.0,31.0,255.0,115.0,76.0,1.0,328.0,256.0,4
256.0,196.0,54.0,255.0,147.0,85.0,22.0,308.0,256.0,4
256.0,216.0,44.0,274.0,124.0,118.0,18.0,354.0,254.0,4
256.0,112.0,3.0,246.0,250.0,44.0,1.0,282.0,256.0,5
256.0,170.0,37.0,239.0,129.0,85.0,1.0,334.0,256.0,4
192.0,171.0,35.0,226.0,107.0,100.0,11.0,289.0,192.0,4
256.0,136.0,28.0,156.0,68.0,84.0,1.0,162.0,256.0,2
256.0,169.0,75.0,193.0,105.0,126.0,53.0,245.0,256.0,2
256.0,176.0,34.0,291.0,222.0,133.0,1.0,448.0,256.0,5
256.0,129.0,45.0,208.0,154.0,21.0,6.0,400.0,230.0,5
256.0,137.0,74.0,215.0,188.0,1.0,13.0,345.0,256.0,5
256.0,124.0,40.0,172.0,128.0,1.0,1.0,195.0,256.0,4
256.0,271.0,78.0,282.0,95.0,232.0,69.0,290.0,220.0,0
256.0,246.0,52.0,293.0,119.0,221.0,1.0,378.0,256.0,4
192.0,256.0,1.0,387.0,154.0,257.0,1.0,480.0,192.0,5
224.0,105.0,1.0,309.0,224.0,67.0,1.0,319.0,224.0,6
256.0,179.0,32.0,324.0,228.0,1.0,1.0,351.0,256.0,5
256.0,142.0,49.0,221.0,161.0,46.0,16.0,319.0,256.0,5
256.0,1.0,1.0,544.0,256.0,1.0,1.0,544.0,256.0,6
224.0,173.0,24.0,295.0,167.0,1.0,1.0,349.0,224.0,5
256.0,207.0,51.0,246.0,98.0,165.0,16.0,352.0,256.0,3
224.0,220.0,9.0,367.0,186.0,211.0,1.0,525.0,222.0,5
256.0,1.0,26.0,399.0,256.0,1.0,26.0,400.0,256.0,6
256.0,261.0,5.0,425.0,226.0,104.0,1.0,528.0,256.0,5
256.0,167.0,60.0,261.0,214.0,140.0,1.0,398.0,254.0,5
256.0,101.0,38.0,136.0,92.0,64.0,16.0,201.0,253.0,3
192.0,358.0,16.0,373.0,45.0,256.0,13.0,434.0,192.0,2
192.0,241.0,30.0,272.0,73.0,196.0,14.0,317.0,192.0,3
256.0,209.0,46.0,237.0,92.0,202.0,33.0,292.0,256.0,2
256.0,214.0,46.0,223.0,56.0,197.0,37.0,239.0,138.0,0
256.0,218.0,38.0,264.0,102.0,104.0,16.0,307.0,256.0,3
256.0,403.0,56.0,436.0,97.0,362.0,29.0,498.0,256.0,2
256.0,127.0,40.0,231.0,215.0,127.0,1.0,320.0,256.0,5
256.0,153.0,45.0,251.0,190.0,32.0,1.0,403.0,256.0,5
256.0,122.0,60.0,187.0,145.0,12.0,9.0,241.0,256.0,4
224.0,288.0,40.0,344.0,112.0,209.0,10.0,416.0,222.0,4
256.0,230.0,54.0,320.0,182.0,108.0,1.0,321.0,255.0,5
256.0,207.0,73.0,260.0,138.0,171.0,26.0,323.0,256.0,4
256.0,369.0,37.0,382.0,58.0,346.0,28.0,409.0,217.0,1
256.0,154.0,61.0,212.0,167.0,28.0,33.0,320.0,256.0,5
256.0,38.0,21.0,150.0,189.0,1.0,1.0,228.0,255.0,5
256.0,232.0,122.0,244.0,135.0,192.0,112.0,254.0,242.0,0
256.0,308.0,31.0,322.0,54.0,281.0,24.0,343.0,223.0,1
256.0,292.0,24.0,349.0,102.0,179.0,16.0,414.0,256.0,4
256.0,200.0,49.0,295.0,178.0,127.0,1.0,489.0,256.0,4
256.0,193.0,29.0,214.0,62.0,168.0,19.0,257.0,256.0,2
256.0,252.0,1.0,477.0,256.0,224.0,1.0,560.0,256.0,6
256.0,125.0,110.0,184.0,224.0,1.0,1.0,237.0,256.0,5
256.0,73.0,54.0,187.0,222.0,8.0,1.0,320.0,256.0,5
256.0,250.0,64.0,309.0,149.0,1.0,43.0,392.0,256.0,4
256.0,95.0,43.0,157.0,119.0,1.0,1.0,167.0,256.0,4
256.0,71.0,63.0,127.0,151.0,1.0,8.0,205.0,256.0,4
256.0,297.0,29.0,431.0,207.0,175.0,1.0,558.0,254.0,5
256.0,194.0,47.0,220.0,77.0,178.0,10.0,312.0,256.0,3
256.0,397.0,122.0,403.0,130.0,385.0,119.0,419.0,192.0,0
256.0,283.0,62.0,343.0,145.0,197.0,19.0,512.0,256.0,4
256.0,90.0,25.0,232.0,256.0,1.0,1.0,317.0,256.0,6
256.0,60.0,19.0,251.0,195.0,1.0,12.0,271.0,256.0,5
192.0,223.0,79.0,368.0,152.0,214.0,76.0,480.0,192.0,5
256.0,202.0,53.0,240.0,124.0,137.0,33.0,339.0,256.0,4
256.0,175.0,53.0,219.0,114.0,105.0,5.0,318.0,256.0,4
192.0,167.0,36.0,201.0,77.0,131.0,23.0,318.0,191.0,3
192.0,213.0,54.0,251.0,107.0,111.0,28.0,361.0,192.0,4
256.0,124.0,81.0,162.0,206.0,1.0,1.0,239.0,256.0,5
256.0,172.0,35.0,203.0,86.0,87.0,1.0,277.0,256.0,3
256.0,276.0,62.0,360.0,197.0,192.0,3.0,489.0,256.0,5
256.0,129.0,51.0,201.0,159.0,62.0,1.0,293.0,254.0,4
256.0,177.0,82.0,255.0,173.0,86.0,35.0,321.0,256.0,5
224.0,271.0,29.0,297.0,67.0,241.0,22.0,333.0,224.0,2
256.0,116.0,52.0,152.0,103.0,55.0,7.0,207.0,256.0,3
256.0,394.0,41.0,407.0,60.0,365.0,26.0,426.0,231.0,1
256.0,114.0,70.0,215.0,191.0,45.0,24.0,381.0,227.0,5
256.0,172.0,41.0,230.0,127.0,128.0,1.0,318.0,256.0,4
256.0,132.0,59.0,215.0,170.0,31.0,7.0,320.0,256.0,5
256.0,76.0,58.0,200.0,245.0,1.0,1.0,200.0,256.0,5
256.0,285.0,43.0,334.0,140.0,285.0,1.0,471.0,256.0,4
256.0,142.0,65.0,300.0,230.0,78.0,1.0,448.0,256.0,5
256.0,181.0,45.0,213.0,85.0,157.0,20.0,283.0,255.0,3
256.0,165.0,48.0,228.0,131.0,78.0,8.0,265.0,256.0,4
256.0,251.0,67.0,308.0,151.0,210.0,38.0,397.0,256.0,4
256.0,176.0,84.0,261.0,181.0,82.0,38.0,324.0,256.0,5
192.0,230.0,66.0,262.0,112.0,130.0,32.0,384.0,192.0,4
224.0,247.0,39.0,290.0,98.0,199.0,11.0,363.0,224.0,3
256.0,359.0,116.0,367.0,126.0,351.0,102.0,375.0,202.0,0
256.0,202.0,54.0,248.0,124.0,128.0,31.0,251.0,256.0,3
256.0,249.0,50.0,304.0,123.0,191.0,11.0,390.0,256.0,4
256.0,300.0,39.0,353.0,127.0,247.0,7.0,448.0,256.0,4
256.0,294.0,46.0,381.0,176.0,225.0,1.0,407.0,256.0,5
256.0,260.0,47.0,280.0,72.0,240.0,44.0,307.0,252.0,1
256.0,182.0,28.0,368.0,246.0,170.0,1.0,400.0,256.0,6
256.0,221.0,56.0,303.0,157.0,183.0,4.0,400.0,256.0,5
256.0,106.0,37.0,123.0,73.0,54.0,8.0,140.0,256.0,2
256.0,318.0,127.0,326.0,137.0,299.0,116.0,370.0,197.0,0
256.0,148.0,50.0,215.0,169.0,28.0,9.0,215.0,256.0,5
224.0,136.0,70.0,191.0,137.0,12.0,30.0,261.0,222.0,4
256.0,239.0,71.0,312.0,146.0,130.0,1.0,337.0,256.0,4
256.0,140.0,52.0,210.0,140.0,58.0,1.0,292.0,256.0,4
256.0,181.0,73.0,226.0,146.0,172.0,1.0,434.0,256.0,4
256.0,163.0,51.0,340.0,199.0,1.0,1.0,544.0,256.0,5
256.0,178.0,13.0,331.0,199.0,152.0,1.0,400.0,256.0,5
256.0,308.0,26.0,443.0,256.0,284.0,1.0,544.0,256.0,6
256.0,201.0,57.0,236.0,115.0,132.0,40.0,313.0,255.0,3
256.0,143.0,37.0,177.0,85.0,90.0,20.0,258.0,256.0,3
256.0,1.0,12.0,219.0,256.0,1.0,1.0,289.0,256.0,6
224.0,292.0,33.0,355.0,120.0,277.0,1.0,526.0,224.0,4
256.0,122.0,68.0,226.0,186.0,36.0,5.0,266.0,256.0,5
240.0,177.0,31.0,244.0,118.0,128.0,1.0,302.0,237.0,4
240.0,169.0,43.0,196.0,79.0,125.0,29.0,216.0,239.0,3
256.0,123.0,25.0,336.0,234.0,1.0,1.0,375.0,255.0,6
256.0,165.0,36.0,266.0,180.0,60.0,1.0,305.0,256.0,5
256.0,149.0,24.0,194.0,97.0,8.0,1.0,274.0,256.0,4
256.0,371.0,37.0,425.0,126.0,317.0,8.0,528.0,256.0,4
256.0,71.0,38.0,173.0,174.0,1.0,1.0,267.0,256.0,5
256.0,1.0,1.0,434.0,256.0,1.0,1.0,448.0,256.0,6
256.0,227.0,1.0,355.0,208.0,228.0,1.0,397.0,254.0,5
256.0,217.0,69.0,260.0,117.0,82.0,57.0,273.0,254.0,3
224.0,223.0,60.0,307.0,180.0,140.0,1.0,417.0,222.0,5
256.0,396.0,60.0,411.0,82.0,378.0,53.0,425.0,229.0,1
256.0,284.0,46.0,305.0,86.0,225.0,22.0,306.0,248.0,3
224.0,198.0,62.0,250.0,128.0,122.0,12.0,303.0,224.0,4
224.0,204.0,67.0,252.0,129.0,163.0,29.0,320.0,224.0,4
256.0,306.0,10.0,346.0,78.0,237.0,1.0,401.0,255.0,3
256.0,217.0,68.0,272.0,156.0,211.0,2.0,405.0,256.0,4
256.0,210.0,45.0,240.0,93.0,161.0,31.0,283.0,256.0,2
256.0,341.0,36.0,441.0,201.0,279.0,1.0,544.0,256.0,5
224.0,209.0,17.0,312.0,160.0,204.0,1.0,498.0,224.0,5
256.0,313.0,59.0,367.0,145.0,176.0,1.0,383.0,256.0,4
256.0,229.0,86.0,265.0,122.0,193.0,62.0,347.0,256.0,3
256.0,156.0,33.0,233.0,163.0,1.0,1.0,308.0,256.0,5
256.0,236.0,45.0,309.0,195.0,60.0,1.0,389.0,255.0,5
256.0,97.0,48.0,178.0,175.0,1.0,1.0,263.0,256.0,5
256.0,86.0,63.0,141.0,134.0,1.0,1.0,191.0,256.0,4
256.0,342.0,51.0,361.0,81.0,309.0,42.0,418.0,256.0,1
256.0,222.0,47.0,266.0,99.0,89.0,11.0,343.0,256.0,3
256.0,141.0,43.0,197.0,131.0,55.0,17.0,320.0,256.0,4
256.0,209.0,63.0,272.0,148.0,162.0,10.0,363.0,256.0,4
256.0,79.0,1.0,341.0,256.0,1.0,1.0,408.0,256.0,6
256.0,109.0,67.0,132.0,104.0,70.0,46.0,170.0,256.0,2
256.0,219.0,55.0,250.0,101.0,163.0,36.0,290.0,256.0,2
256.0,151.0,34.0,202.0,120.0,48.0,1.0,297.0,255.0,4
256.0,99.0,92.0,194.0,232.0,90.0,50.0,300.0,256.0,5
256.0,160.0,31.0,199.0,75.0,113.0,1.0,281.0,255.0,3
256.0,142.0,60.0,202.0,150.0,7.0,14.0,209.0,255.0,4
256.0,129.0,54.0,170.0,108.0,89.0,35.0,222.0,230.0,3
256.0,99.0,128.0,193.0,229.0,74.0,1.0,374.0,256.0,4
256.0,141.0,20.0,161.0,44.0,121.0,9.0,176.0,240.0,1
224.0,255.0,49.0,348.0,173.0,179.0,1.0,366.0,224.0,5
256.0,296.0,60.0,348.0,141.0,229.0,25.0,414.0,256.0,3
240.0,240.0,18.0,287.0,93.0,178.0,1.0,400.0,240.0,3
256.0,331.0,58.0,402.0,161.0,258.0,9.0,516.0,256.0,4
256.0,233.0,67.0,259.0,102.0,181.0,43.0,312.0,255.0,3
256.0,86.0,40.0,142.0,121.0,19.0,8.0,248.0,256.0,4
256.0,185.0,1.0,351.0,200.0,147.0,1.0,380.0,256.0,6
224.0,240.0,30.0,330.0,153.0,163.0,1.0,431.0,224.0,5
256.0,132.0,44.0,182.0,126.0,69.0,21.0,278.0,256.0,4
256.0,219.0,77.0,304.0,185.0,125.0,1.0,448.0,256.0,4
256.0,145.0,47.0,245.0,183.0,1.0,1.0,289.0,256.0,5
224.0,246.0,62.0,258.0,75.0,232.0,60.0,266.0,190.0,0
224.0,275.0,47.0,300.0,84.0,228.0,35.0,355.0,224.0,2
256.0,211.0,51.0,264.0,163.0,12.0,23.0,292.0,256.0,5
256.0,189.0,65.0,200.0,78.0,145.0,50.0,216.0,225.0,1
256.0,317.0,52.0,356.0,103.0,262.0,27.0,420.0,255.0,3
256.0,133.0,141.0,138.0,146.0,122.0,138.0,148.0,201.0,0
256.0,196.0,48.0,259.0,128.0,127.0,10.0,327.0,204.0,4
256.0,226.0,77.0,257.0,116.0,108.0,41.0,293.0,256.0,3
256.0,221.0,71.0,323.0,211.0,134.0,1.0,432.0,256.0,5
256.0,110.0,48.0,204.0,171.0,8.0,15.0,392.0,227.0,5
